user_id,role,active,sign_up_source,state,created_date,last_login_date
600746fd6e64691717e8cfb5,consumer,True,Email,WI,2021-01-19 15:54:21-05:00,2021-01-19 15:54:21-05:00
5ff5d15aeb7c7d12096d91a2,consumer,True,Email,WI,2021-01-06 10:03:54-05:00,2021-01-06 10:08:10-05:00
600eea525edb7811cde6c81c,consumer,True,Email,WI,2021-01-25 10:57:07-05:00,
5ffc9d9f04929111f6e92456,consumer,True,Email,WI,2021-01-11 13:49:03-05:00,2021-01-11 13:49:03-05:00
5ff1e1eacfcf6c399c274ae6,consumer,True,Email,WI,2021-01-03 10:25:30-05:00,2021-01-03 10:25:30-05:00
60132b85a4b74c3cbc516295,consumer,True,Email,WI,2021-01-28 16:24:21-05:00,2021-01-28 16:24:21-05:00
600fb1e4a4b74c120bd18777,consumer,True,Email,WI,2021-01-26 01:08:36-05:00,2021-01-26 01:08:37-05:00
601890a99a1b091205b61ced,consumer,True,Email,WI,2021-02-01 18:37:13-05:00,2021-02-01 18:37:13-05:00
5ff873ddb3348b11c9337733,consumer,True,Email,WI,2021-01-08 10:01:49-05:00,2021-01-08 10:01:49-05:00
6010be65a4b74c120bd19edc,consumer,True,Email,WI,2021-01-26 20:14:13-05:00,2021-01-26 20:14:13-05:00
60088e44b6310511daa4ef80,consumer,True,Email,WI,2021-01-20 15:10:44-05:00,2021-01-20 15:11:55-05:00
5ff1e194b6a9d73a3a9f1052,consumer,True,Email,WI,2021-01-03 10:24:04-05:00,2021-01-03 10:25:37-05:00
6008622ebe5fc9247bab4eb9,consumer,False,Email,WI,2021-01-20 12:02:38-05:00,2021-01-20 12:02:38-05:00
6002541ae257124ec6b99a3a,consumer,True,Email,WI,2021-01-15 21:48:58-05:00,
600f47f06fd0dc1768a34a12,consumer,True,Email,WI,2021-01-25 17:36:32-05:00,2021-01-25 17:40:13-05:00
601c2c6a29c30a1227ad93bd,consumer,True,Email,WI,2021-02-04 12:18:34-05:00,2021-02-04 12:18:34-05:00
600fb1ac73c60b12049027bb,consumer,True,Email,WI,2021-01-26 01:07:40-05:00,2021-01-26 01:11:23-05:00
6011f42773c60b1804ce1607,consumer,True,Email,WI,2021-01-27 18:15:51-05:00,2021-01-27 18:15:52-05:00
60074246325c8a12289e22a0,consumer,True,Email,WI,2021-01-19 15:34:15-05:00,2021-01-19 15:34:15-05:00
6000d46cfb296c121a81b20c,consumer,True,Email,WI,2021-01-14 18:31:56-05:00,2021-01-14 18:33:52-05:00
60217fa799409b11fcf899fe,consumer,True,Email,WI,2021-02-08 13:15:03-05:00,
600ed48a5edb7811cde6b549,consumer,True,Email,WI,2021-01-25 09:24:10-05:00,2021-01-25 09:24:11-05:00
5ff8da7db3348b11c9337b6a,consumer,True,Email,WI,2021-01-08 17:19:41-05:00,2021-01-08 17:19:41-05:00
600f20c15edb787dce060911,consumer,True,Email,WI,2021-01-25 14:49:21-05:00,
600987d77d983a11f63cfa92,consumer,True,Email,WI,2021-01-21 08:55:35-05:00,2021-01-21 08:59:21-05:00
602538adb54593795bf692ac,consumer,True,Email,WI,2021-02-11 09:01:17-05:00,2021-02-11 09:01:17-05:00
5ff36be7135e7011bcb856d3,consumer,True,Email,WI,2021-01-04 14:26:31-05:00,2021-01-04 14:29:52-05:00
6014319173c60b3ca7f3bf01,consumer,True,Email,WI,2021-01-29 11:02:25-05:00,2021-01-29 11:05:28-05:00
6000b75bbe5fc96dfee1d4d3,consumer,True,Email,AL,2021-01-14 16:27:55-05:00,
60074883325c8a1794622a12,consumer,True,Email,WI,2021-01-19 16:00:51-05:00,2021-01-19 16:00:51-05:00
601465a884231211ce796db3,consumer,True,Email,WI,2021-01-29 14:44:40-05:00,2021-01-29 14:44:40-05:00
60088a46b6310511daa4ec97,consumer,True,Email,WI,2021-01-20 14:53:42-05:00,2021-01-20 14:53:42-05:00
60005709bd4dff11dda90ac1,consumer,True,Email,WI,2021-01-14 09:36:57-05:00,2021-01-14 09:36:58-05:00
5fff26bab3348b03eb45bb22,consumer,True,Email,WI,2021-01-13 11:58:34-05:00,2021-01-13 11:58:34-05:00
5ff7401ceb7c7d31ca8a46e0,consumer,True,Email,WI,2021-01-07 12:08:44-05:00,2021-01-07 12:08:44-05:00
60189c859a1b091205b61de1,consumer,True,Email,WI,2021-02-01 19:27:49-05:00,2021-02-01 19:27:49-05:00
55308179e4b0eabd8f99caa2,consumer,True,,WI,2015-04-16 23:43:53-04:00,2018-05-07 13:23:40-04:00
5ffc8f9704929111f6e922bf,consumer,True,Email,WI,2021-01-11 12:49:11-05:00,2021-01-11 12:50:56-05:00
6009e60450b3311194385009,consumer,True,Email,WI,2021-01-21 15:37:25-05:00,
5ff793dd04929111f6e90c69,consumer,True,Email,WI,2021-01-07 18:06:05-05:00,2021-01-07 18:06:05-05:00
60074b996e64691717e8f11a,consumer,True,Email,WI,2021-01-19 16:14:01-05:00,2021-01-19 16:14:02-05:00
601c68d229c30a1227ada484,consumer,True,Email,WI,2021-02-04 16:36:18-05:00,2021-02-04 16:36:18-05:00
5ff8da7eb3348b11c9337b72,consumer,True,Email,WI,2021-01-08 17:19:42-05:00,2021-01-08 17:19:42-05:00
601ac195af4b1a1205f7560f,consumer,True,Email,WI,2021-02-03 10:30:29-05:00,2021-02-03 10:34:11-05:00
60255883efa60114d20e5d4e,consumer,True,Email,WI,2021-02-11 11:17:07-05:00,2021-02-11 11:18:29-05:00
5e27526d0bdb6a138c32b556,consumer,True,Google,WI,2020-01-21 14:35:09-05:00,
5ff473e7c1e2d0121a9b2697,consumer,True,Email,WI,2021-01-05 09:12:55-05:00,2021-01-05 09:12:55-05:00
5fbc35711d967d1222cbfefc,fetch-staff,True,Email,,2020-11-23 17:19:29-05:00,2021-02-25 23:25:51-05:00
6014558467804a1228b20cf0,consumer,True,Email,WI,2021-01-29 13:35:48-05:00,2021-01-29 13:35:48-05:00
60099c1450b33111fd61f702,consumer,True,Email,WI,2021-01-21 10:21:56-05:00,
60118bcfa4b74c18d3a8c0d7,consumer,True,Email,WI,2021-01-27 10:50:39-05:00,2021-01-27 10:52:41-05:00
60088e5d633aab121bb8e5cf,consumer,True,Email,WI,2021-01-20 15:11:09-05:00,2021-01-20 15:11:10-05:00
60186237c8b50e11d8454d5f,consumer,True,Email,,2021-02-01 15:19:03-05:00,
60145ff384231211ce796d51,consumer,True,Email,,2021-01-29 14:20:19-05:00,
601c6887969c0b11f7d0c81f,consumer,True,Email,WI,2021-02-04 16:35:03-05:00,2021-02-04 16:36:30-05:00
5fff0f4fb3348b03eb45abb0,consumer,True,Email,WI,2021-01-13 10:18:39-05:00,2021-01-13 10:22:02-05:00
5ff7268eeb7c7d12096da2a9,consumer,True,Email,WI,2021-01-07 10:19:42-05:00,2021-01-07 10:19:42-05:00
60037a94fb296c4ef805ddbe,consumer,True,Email,WI,2021-01-16 18:45:25-05:00,
5ffcb4bc04929111f6e92608,consumer,True,Email,WI,2021-01-11 15:27:40-05:00,2021-01-11 15:27:40-05:00
600741d06e6469120a787853,consumer,True,Email,WI,2021-01-19 15:32:17-05:00,2021-01-19 15:39:03-05:00
60085b3dbe5fc90ee6a67b11,consumer,True,Email,WI,2021-01-20 11:33:01-05:00,2021-01-20 11:36:54-05:00
5ff7264e8f142f11dd189504,consumer,True,Email,WI,2021-01-07 10:18:38-05:00,2021-01-07 10:20:26-05:00
5964eb07e4b03efd0c0f267b,fetch-staff,True,,IL,2017-07-11 11:13:11-04:00,2021-03-04 14:07:49-05:00
60146f2ac8b50e11d8452661,consumer,True,Email,WI,2021-01-29 15:25:14-05:00,2021-01-29 15:29:08-05:00
60074b49325c8a1794623876,consumer,True,Email,WI,2021-01-19 16:12:41-05:00,2021-01-19 16:16:09-05:00
6011f43ba4b74c18d3a8ca01,consumer,True,Email,WI,2021-01-27 18:16:11-05:00,2021-01-27 18:16:12-05:00
