user_id,state,created_date,last_login,role,active,sign_up_source
5ff1e194b6a9d73a3a9f1052,WI,2021-01-03 10:24:04.800000-05:00,2021-01-03 10:25:37.858000-05:00,consumer,True,Email
5ff1e194b6a9d73a3a9f1052,WI,2021-01-03 10:24:04.800000-05:00,2021-01-03 10:25:37.858000-05:00,consumer,True,Email
5ff1e194b6a9d73a3a9f1052,WI,2021-01-03 10:24:04.800000-05:00,2021-01-03 10:25:37.858000-05:00,consumer,True,Email
5ff1e1eacfcf6c399c274ae6,WI,2021-01-03 10:25:30.554000-05:00,2021-01-03 10:25:30.597000-05:00,consumer,True,Email
5ff1e194b6a9d73a3a9f1052,WI,2021-01-03 10:24:04.800000-05:00,2021-01-03 10:25:37.858000-05:00,consumer,True,Email
5ff1e194b6a9d73a3a9f1052,WI,2021-01-03 10:24:04.800000-05:00,2021-01-03 10:25:37.858000-05:00,consumer,True,Email
5ff1e1e8cfcf6c399c274ad9,WI,2021-01-03 10:25:28.354000-05:00,2021-01-03 10:25:28.392000-05:00,consumer,True,Email
5ff1e1b7cfcf6c399c274a5a,WI,2021-01-03 10:24:39.626000-05:00,2021-01-03 10:24:39.665000-05:00,consumer,True,Email
5ff1e194b6a9d73a3a9f1052,WI,2021-01-03 10:24:04.800000-05:00,2021-01-03 10:25:37.858000-05:00,consumer,True,Email
5ff1e1f1cfcf6c399c274b0b,WI,2021-01-03 10:25:37.564000-05:00,2021-01-03 10:25:37.599000-05:00,consumer,True,Email
5ff1e194b6a9d73a3a9f1052,WI,2021-01-03 10:24:04.800000-05:00,2021-01-03 10:25:37.858000-05:00,consumer,True,Email
5ff1e1eacfcf6c399c274ae6,WI,2021-01-03 10:25:30.554000-05:00,2021-01-03 10:25:30.597000-05:00,consumer,True,Email
5ff1e194b6a9d73a3a9f1052,WI,2021-01-03 10:24:04.800000-05:00,2021-01-03 10:25:37.858000-05:00,consumer,True,Email
